Alternity RPG - Skills Summary (Broad and Specialty)
=====================================================

Broad Skills can generally be used untrained (at a +1 step penalty to the Ability check) unless marked as "NO".
Specialty Skills can generally be attempted if you have the parent Broad Skill (defaulting at a +1 step penalty) unless marked as "NO" (Trained Only).

----------------------------------------------------------------------
Skill Name                          | Attribute | Untrained (Can use?)
----------------------------------------------------------------------

=== Strength Skills (STR) ===
Armor Operation                     | STR       | YES
  Combat armor                      | STR       | YES
  Powered armor                     | STR       | YES
  Tactical armor                    | INT       | YES
  Propulsion systems                | INT       | YES
  Shields                           | STR       | YES
Athletics                           | STR       | YES
  Climb                             | STR       | YES
  Jump                              | STR       | YES
  Swim                              | CON       | YES
  Throw                             | STR       | YES
Heavy Weapons                       | STR       | YES
  Direct fire                       | STR       | YES
  Indirect fire                     | STR       | YES
Melee Combat                        | STR       | YES
  Blade                             | STR       | YES
  Blunt                             | STR       | YES
  Defensive Martial Arts            | DEX       | NO (Trained Only)
  Power Martial Arts                | STR       | NO (Trained Only)
  Powered                           | DEX       | YES
Unarmed Attack                      | STR       | YES
  Brawl                             | STR       | YES
  Power Martial Arts                | STR       | NO (Trained Only)

=== Dexterity Skills (DEX) ===
Acrobatics                          | DEX       | YES
  Daredevil                         | DEX       | YES
  Dodge                             | DEX       | YES
  Fall                              | DEX       | YES
  Zero-g Training                   | DEX       | NO (Trained Only)
  Aerobatics                        | DEX       | YES
Covert Ops                          | DEX       | YES
  Conceal                           | DEX       | YES
  Disguise                          | CHA       | YES
  Pickpocket                        | DEX       | NO (Trained Only)
  Stealth                           | DEX       | YES
Modern Ranged Weapons               | DEX       | YES
  Assault Rifle                     | DEX       | YES
  Pistol                            | DEX       | YES
  Rifle                             | DEX       | YES
  Shotgun                           | DEX       | YES
  SMG                               | DEX       | YES
Primitive Ranged Weapons            | DEX       | YES
  Bow                               | DEX       | YES
  Crossbow                          | DEX       | YES
  Flintlock                         | DEX       | YES
  Sling                             | DEX       | YES
Vehicle Operation                   | DEX       | YES
  Air vehicle                       | DEX       | NO (Trained Only)
  Land vehicle                      | DEX       | YES
  Space vehicle                     | DEX       | NO (Trained Only)
  Water vehicle                     | DEX       | YES

=== Constitution Skills (CON) ===
Stamina                             | CON       | YES
  Endurance                         | CON       | YES
  Resist pain                       | CON       | NO (Trained Only)
Survival                            | CON       | YES
  Survival training                 | CON       | YES
  Adaptability                      | CON       | NO (Trained Only)
  Trailblazing                      | CON       | YES

=== Intelligence Skills (INT) ===
Administration                      | INT       | YES
  Bureaucracy                       | INT       | YES
  Management                        | INT       | YES
Business                            | INT       | YES
  Corporate                         | INT       | YES
  Illicit business                  | INT       | YES
  Small business                    | INT       | YES
Computer Science                    | INT       | YES
  Hacking                           | INT       | NO (Trained Only)
  Hardware                          | INT       | YES
  Programming                       | INT       | YES
Demolitions                         | INT       | YES
  Disarm                            | INT       | YES
  Set explosives                    | INT       | YES
  Scratch-Built Explosives          | INT       | NO (Trained Only)
Law                                 | INT       | YES
  Court procedures                  | INT       | YES
  Law enforcement procedures         | INT       | YES
  Law, specific skill               | INT       | NO (Trained Only)
Life Science                        | INT       | YES
  Biology                           | INT       | NO (Trained Only)
